hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,per_night,Log_number_of_ratings,Log_price,Size
Madina Palace Hotel,Jeddah,207,Standard Double Room,2,6.0,Very good,330,1,5.799092654460530,5.332718793265370,28
روضة الملبي للوحدات السكنية,Madinah,120,Double Room,2,6.5,Very good,6,1,1.791759469228060,4.787491742782050,28
"Radisson Blu Hotel, Buraidah",Buraydah  ,444,Standard Room,1,8.3,Good,1826,1,7.509883061154910,6.095824562432230,35
Al Kenana Hotel,Makkah ,69,Double Room with Private Bathroom,2,7.2,Good,167,1,5.117993812416760,4.23410650459726,29
شاليه جُمان سبرينجز للعائلات,King Abdullah Economic City,590,One-Bedroom Chalet,5,9.5,Exceptional,6,1,1.791759469228060,6.380122536899770,35
فندق جمانه,Yanbu  ,270,Standard Twin Room,2,8.0,Good,1204,1,7.093404625868770,5.598421958998380,30
Al Hayaah Bayta,Tabuk  ,201,Studio Apartment,2,6.5,Very good,475,1,6.163314804034640,5.303304908059080,37
Ibis Yanbu,Yanbu  ,330,Double Room,1,7.9,Good,1134,1,7.033506484287700,5.799092654460530,28
شقه كبيره,Obhor ,480,Two-Bedroom Apartment,3,0.0,Very good,0,1,-inf,6.173786103901940,66
Batoul Ajyad Hotel,Makkah,111,Quadruple Room,4,7.5,Good,2362,1,7.767263996757310,4.709530201312330,28
نظرة للشقق الفندقية,Raʼs Munaysif,449,One-Bedroom Apartment,2,8.0,Good,11,1,2.3978952727983700,6.1070228877422500,28
Rwnza Hotel Apartments,Tabuk  ,200,One-Bedroom Apartment,5,5.4,Very good,63,1,4.143134726391530,5.298317366548040,100
Seher Aloyon Funished Apartments,Buraydah  ,250,Two-Bedroom Apartment,6,8.1,Good,599,1,6.395261598115450,5.521460917862250,150
Dari Hotel Families Only,Jeddah  ,266,Studio,1,8.9,Fabulous,238,1,5.472270673671480,5.583496308781700,35
Durra Taraf 1 Residential,Dammam  ,350,One-Bedroom Apartment,1,7.2,Good,1368,1,7.221105098182500,5.857933154483460,30
استراحات و شاليهات البرج,Al Baha,896,Two-Bedroom Apartment,9,7.4,Good,5,1,1.6094379124341000,6.79794041297493,37
