"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url"
"Danat Park Hotel","Yanbu Show on map","SAR 140","1 night, 2 adults","Budget Double Room","1 large double bed","6.5","Review score","563 reviews","/hotel/sa/danat-park.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dcabef1336558376fa7c4c835ae59883&all_sr_blocks=163894902_199474583_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=551&highlighted_blocks=163894902_199474583_0_0_0&hpos=1&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=163894902_199474583_0_0_0__14000&srepoch=1634459231&srpvid=7e943b6fe6a5002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"فندق بانوراما الخبر-Panorama ALkohbar Hotel","Al Khobar Show on map","SAR 400","1 night, 2 adults","Duplex Studio","1 double bed","6.6","Review score","89 reviews","/hotel/sa/fndq-bnwrm-panorama.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dcabef1336558376fa7c4c835ae59883&all_sr_blocks=768245101_335772825_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=552&highlighted_blocks=768245101_335772825_2_0_0&hpos=2&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=768245101_335772825_2_0_0__40000&srepoch=1634459231&srpvid=7e943b6fe6a5002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Rose Diamond Hotel","Al Madinah Show on map","SAR 100","1 night, 2 adults","Standard Quadruple Room","3 single beds","6.7","Review score","318 reviews","/hotel/sa/rose-diamond.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dcabef1336558376fa7c4c835ae59883&all_sr_blocks=291566404_335401614_4_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=553&highlighted_blocks=291566404_335401614_4_0_0&hpos=3&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=291566404_335401614_4_0_0__10000&srepoch=1634459231&srpvid=7e943b6fe6a5002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Makarim Palm Hotel","Rabigh Show on map","SAR 160","1 night, 2 adults","One-Bedroom Apartment","1 extra-large double bed","6.8","Review score","311 reviews","/hotel/sa/makarm-palm-suites-rabigh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dcabef1336558376fa7c4c835ae59883&all_sr_blocks=170341606_97844944_0_1_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=554&highlighted_blocks=170341606_97844944_0_1_0&hpos=4&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=170341606_97844944_0_1_0__16000&srepoch=1634459231&srpvid=7e943b6fe6a5002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Luxury apartment in KAEC شقة فاخرة ابراج الشاطئ مدينة الملك عبدالله الاقتصادية - اطلالة علي المدينة","King Abdullah Economic City Show on map","SAR 1,259","1 night, 2 adults","Apartment","5 beds
(2 singles, 1 sofa bed, 2 large doubles)","9.4","Superb","7 reviews","/hotel/sa/luxury-apartment-in-kaec-shq-fkhr-b-mrt-lshty-mdyn-lmlk-bdllh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dcabef1336558376fa7c4c835ae59883&all_sr_blocks=756270001_336109251_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=555&highlighted_blocks=756270001_336109251_0_0_0&hpos=5&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=756270001_336109251_0_0_0__125910&srepoch=1634459231&srpvid=7e943b6fe6a5002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"مينا بلازا الطائف Mena Plaza Taif","Taif Show on map","SAR 140","1 night, 2 adults","Standard King Room","1 extra-large double bed","5.8","Review score","1,112 reviews","/hotel/sa/tulip-inn-altaif.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dcabef1336558376fa7c4c835ae59883&all_sr_blocks=28487608_324518289_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=556&highlighted_blocks=28487608_324518289_0_0_0&hpos=6&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=28487608_324518289_0_0_0__14000&srepoch=1634459231&srpvid=7e943b6fe6a5002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Al Qibla Hotel","Central Madinah, Al Madinah Show on map","SAR 285","1 night, 2 adults","Twin Room - Non-Smoking","2 single beds","6.3","Review score","1,690 reviews","/hotel/sa/ramada-madinah-al-qibla.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dcabef1336558376fa7c4c835ae59883&all_sr_blocks=25507913_309807857_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=557&highlighted_blocks=25507913_309807857_0_0_0&hpos=7&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=25507913_309807857_0_0_0__28500&srepoch=1634459231&srpvid=7e943b6fe6a5002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Orchida Al Hamra","Riyadh Show on map","SAR 111","1 night, 2 adults","King Studio","1 double bed","5.8","Review score","15 reviews","/hotel/sa/oyo-165-orchida-al-hamra.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dcabef1336558376fa7c4c835ae59883&all_sr_blocks=483235408_157598191_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=558&highlighted_blocks=483235408_157598191_2_0_0&hpos=8&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=483235408_157598191_2_0_0__11050&srepoch=1634459231&srpvid=7e943b6fe6a5002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"فندق النهضة Al Nahda Hotel","Jeddah Show on map","SAR 111","1 night, 2 adults","Studio","Beds: 1 double or 2 singles","6.3","Review score","340 reviews","/hotel/sa/al-nahda.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dcabef1336558376fa7c4c835ae59883&all_sr_blocks=643589507_288564092_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=559&highlighted_blocks=643589507_288564092_0_0_0&hpos=9&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=643589507_288564092_0_0_0__11115&srepoch=1634459231&srpvid=7e943b6fe6a5002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"رحاب الضيافة","Al Fayşalīyah Show on map","SAR 230","1 night, 2 adults","Two-Bedroom Apartment","6 beds
(4 doubles, 2 sofa beds)","","","","/hotel/sa/rhb-ldyf-mhfz-skk.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dcabef1336558376fa7c4c835ae59883&all_sr_blocks=783242001_337792807_10_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=560&highlighted_blocks=783242001_337792807_10_0_0&hpos=10&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=783242001_337792807_10_0_0__23000&srepoch=1634459231&srpvid=7e943b6fe6a5002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
