"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url"
"Gardens View","Taif Show on map","SAR 216","1 night, 2 adults","Standard Studio","1 double bed","7.3","Good","318 reviews","/hotel/sa/mtl-lhdy-q-llwhdt-lskny-lmfrwsh-lty-f.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=575353905_331856663_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=661&highlighted_blocks=575353905_331856663_0_0_0&hpos=11&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=575353905_331856663_0_0_0__21600&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v13_ctOOBQ&from=searchresults
;highlight_room=#hotelTmpl"
"Hotel Qal'aat AlKhafji","Raʼs al Khafjī Show on map","SAR 269","1 night, 2 adults","Deluxe Double Room","2 single beds","7.0","Good","6 reviews","/hotel/sa/fndq-ql-lkhfjy.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=504625909_295317025_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=662&highlighted_blocks=504625909_295317025_2_0_0&hpos=12&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=504625909_295317025_2_0_0__26933&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1NeUj8DLE&from=searchresults
;highlight_room=#hotelTmpl"
"Al Muhaidb Residence Al Takhassusi","Al Olaya, Riyadh Show on map","SAR 250","1 night, 2 adults","Club Double Room","1 double bed","6.9","Review score","1,092 reviews","/hotel/sa/ossuo-uossop-riyadh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=80504003_97320671_0_1_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=663&highlighted_blocks=80504003_97320671_0_1_0&hpos=13&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=80504003_97320671_0_1_0__25000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1R-FD3Ifp&from=searchresults
;highlight_room=#hotelTmpl"
"Al Hayatt Plus","Central Madinah, Al Madinah Show on map","SAR 175","1 night, 2 adults","Economy Double Room","2 single beds","6.9","Review score","2,304 reviews","/hotel/sa/hy-l-lmy2.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=656939201_269179259_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=664&highlighted_blocks=656939201_269179259_0_0_0&hpos=14&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=656939201_269179259_0_0_0__17500&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1TEPuV7_R&from=searchresults
;highlight_room=#hotelTmpl"
"Al Eairy Furnished Apartments- Jeddah 2","Jeddah Show on map","SAR 100","1 night, 2 adults","Small Double Room","Beds: 1 double or 2 singles","5.2","Review score","879 reviews","/hotel/sa/al-eairy-furnished-apartments-jeddah-2.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=223052206_101061924_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=665&highlighted_blocks=223052206_101061924_2_0_0&hpos=15&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=223052206_101061924_2_0_0__10000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1rOaLUqJ3&from=searchresults
;highlight_room=#hotelTmpl"
"اوج للأجنحة الفندقية","Jazan Show on map","SAR 465","1 night, 2 adults","Standard Studio","1 large double bed","8.9","Fabulous","40 reviews","/hotel/sa/wj-ll-jnh-lfndqy-jizan.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=769041101_334799414_2_1_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=666&highlighted_blocks=769041101_334799414_2_1_0&hpos=16&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=769041101_334799414_2_1_0__46500&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1JHAMjg7I&from=searchresults
;highlight_room=#hotelTmpl"
"Ramada by Wyndham Dammam Khaleej Road","Dammam Show on map","SAR 210","1 night, 2 adults","Queen Room - Smoking","1 large double bed","6.9","Review score","4,808 reviews","/hotel/sa/ramada-dammam-suites.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=18381132_88958527_2_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=667&highlighted_blocks=18381132_88958527_2_42_0&hpos=17&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=18381132_88958527_2_42_0__21000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1tH1T2b3q&from=searchresults
;highlight_room=#hotelTmpl"
"سويت ان العلا للشقق المفروشة الخاصة Sweet In alula Apartments and organizing tours","Al Ula Show on map","SAR 620","1 night, 2 adults","Three-Bedroom Apartment","8 beds
(4 singles, 1 double, 3 sofa beds)","7.6","Good","163 reviews","/hotel/sa/shqq-mfrwsh-fkhr-l-l.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=606734503_255034448_6_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=668&highlighted_blocks=606734503_255034448_6_0_0&hpos=18&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=606734503_255034448_6_0_0__62000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1aOvCF651&from=searchresults
;highlight_room=#hotelTmpl"
"La fontaine Opal","Al Salamah, Jeddah Show on map","SAR 280","1 night, 2 adults","Standard Double or Twin Room","Beds: 1 double or 2 singles","8.2","Very good","299 reviews","/hotel/sa/lfwntyn-wbl.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=619756603_276661010_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=669&highlighted_blocks=619756603_276661010_2_0_0&hpos=19&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=619756603_276661010_2_0_0__28000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1p4YWO5dK&from=searchresults
;highlight_room=#hotelTmpl"
"شالية مارينا","Al Muwayh Show on map","SAR 1,000","1 night, 2 adults","Two-Bedroom Chalet","3 beds
(1 single, 1 double, 1 sofa bed)","","","","/hotel/sa/shly-mryn-lmwy-ljdyd.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=773805801_335630099_6_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=670&highlighted_blocks=773805801_335630099_6_0_0&hpos=20&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=773805801_335630099_6_0_0__100000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1aFdO-5PD&from=searchresults
;highlight_room=#hotelTmpl"
"استراحة الخير","Şulbūkh Show on map","SAR 240","1 night, 2 adults","Two-Bedroom Chalet","5 beds
(3 singles, 2 sofa beds)","","","","/hotel/sa/strh-lkhyr.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=719069801_330739250_5_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=671&highlighted_blocks=719069801_330739250_5_0_0&hpos=21&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=719069801_330739250_5_0_0__24000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v11gR7F5fS&from=searchresults
;highlight_room=#hotelTmpl"
