"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url"
"Marriott Executive Apartments Madinah","Al Madinah Show on map","SAR 850","1 night, 2 adults","Studio Apartment, 1 King, Sofa bed, Garden view","2 beds
(1 extra-large double, 1 sofa bed)","9.0","Superb","895 reviews","/hotel/sa/marriott-executive-apartments-madinah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa701a65e2798c2c784ee27e4532bc4b&all_sr_blocks=194455919_234491063_0_1_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=401&highlighted_blocks=194455919_234491063_0_1_0&hpos=1&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=194455919_234491063_0_1_0__85000&srepoch=1634456840&srpvid=c55736c454410120&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Mnazel Jawraq","Riyadh Show on map","SAR 2,250","1 night, 2 adults","Villa with Private Pool","4 beds
(2 extra-large doubles, 2 sofa beds)","8.8","Fabulous","58 reviews","/hotel/sa/jwrq.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa701a65e2798c2c784ee27e4532bc4b&all_sr_blocks=365494301_335433878_8_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=402&highlighted_blocks=365494301_335433878_8_0_0&hpos=2&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=365494301_335433878_8_0_0__225000&srepoch=1634456840&srpvid=c55736c454410120&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"شاليهات ويڤ Wave Resorts","Al Khobar Show on map","SAR 3,750","1 night, 2 adults","Chalet","4 beds
(3 extra-large doubles, 1 sofa bed)","7.9","Good","39 reviews","/hotel/sa/shlyht-wwyf.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa701a65e2798c2c784ee27e4532bc4b&all_sr_blocks=721123406_333427289_6_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=403&highlighted_blocks=721123406_333427289_6_0_0&hpos=3&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=721123406_333427289_6_0_0__375000&srepoch=1634456840&srpvid=c55736c454410120&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Villa Al Nakhil","King Abdullah Economic City Show on map","SAR 1,764","1 night, 2 adults","Three-Bedroom Villa","5 beds
(4 singles, 1 double)","","","","/hotel/sa/fyl-lnkhyl.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa701a65e2798c2c784ee27e4532bc4b&all_sr_blocks=531064001_187749598_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=404&highlighted_blocks=531064001_187749598_2_0_0&hpos=4&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=531064001_187749598_2_0_0__176400&srepoch=1634456840&srpvid=c55736c454410120&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"دار الود للأجنحة الفندقية","Jeddah Show on map","SAR 217","1 night, 2 adults","Studio","1 extra-large double bed","8.2","Very good","336 reviews","/hotel/sa/dr-lwd-ll-jnh-lfndqy-jeddah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa701a65e2798c2c784ee27e4532bc4b&all_sr_blocks=754864001_332219425_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=405&highlighted_blocks=754864001_332219425_2_0_0&hpos=5&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=754864001_332219425_2_0_0__21700&srepoch=1634456840&srpvid=c55736c454410120&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Alreef Diamond Villas","Taif Show on map","SAR 1,500","1 night, 2 adults","Standard Villa","13 beds
(5 singles, 1 double, 7 sofa beds)","9.0","Superb","101 reviews","/hotel/sa/fll-lryf-lsyhy.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa701a65e2798c2c784ee27e4532bc4b&all_sr_blocks=252441801_330818940_6_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=406&highlighted_blocks=252441801_330818940_6_0_0&hpos=6&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=252441801_330818940_6_0_0__150000&srepoch=1634456840&srpvid=c55736c454410120&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Rolana Furnished Apartments","Jeddah Show on map","SAR 189","1 night, 2 adults","Deluxe Studio","1 extra-large double bed","7.5","Good","40 reviews","/hotel/sa/rolana-furnished-apartments.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa701a65e2798c2c784ee27e4532bc4b&all_sr_blocks=223862404_285716025_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=407&highlighted_blocks=223862404_285716025_0_0_0&hpos=7&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=223862404_285716025_0_0_0__18900&srepoch=1634456840&srpvid=c55736c454410120&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Saray Chalet at Amwaj Resort شاليه ساراي في منتجع أمواج للعائلات فقط","Al Khobar Show on map","SAR 4,079","1 night, 2 adults","Four-Bedroom House","7 beds
(6 singles, 1 extra-large double)","8.3","Very good","12 reviews","/hotel/sa/mntj-mwj-fy-lhfmwn.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa701a65e2798c2c784ee27e4532bc4b&all_sr_blocks=687530601_295746465_8_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=408&highlighted_blocks=687530601_295746465_8_0_0&hpos=8&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=687530601_295746465_8_0_0__407880&srepoch=1634456840&srpvid=c55736c454410120&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Shams W Qamar Chalets","Taif Show on map","SAR 1,170","1 night, 2 adults","One-Bedroom Chalet","5 beds
(4 sofa beds, 1 large double)","8.5","Very good","20 reviews","/hotel/sa/ishlyht-shms-w-qmr.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa701a65e2798c2c784ee27e4532bc4b&all_sr_blocks=521202901_230572122_6_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=409&highlighted_blocks=521202901_230572122_6_0_0&hpos=9&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=521202901_230572122_6_0_0__117000&srepoch=1634456840&srpvid=c55736c454410120&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"فندق حياة تاون","Umm Lajj Show on map","SAR 629","1 night, 2 adults","Deluxe Suite","2 beds
(1 extra-large double, 1 sofa bed)","7.3","Good","8 reviews","/hotel/sa/fndq-hy-twn.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa701a65e2798c2c784ee27e4532bc4b&all_sr_blocks=699481305_288219849_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=410&highlighted_blocks=699481305_288219849_2_0_0&hpos=10&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=699481305_288219849_2_0_0__62910&srepoch=1634456840&srpvid=c55736c454410120&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
