"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url"
"Delmon Hotel Suites","Al Salamah, Jeddah Show on map","SAR 225","1 night, 1 adult","One-Bedroom Apartment","3 beds
(1 double, 2 sofa beds)","6.7","Review score","171 reviews","/hotel/sa/sultan-palace-for-suites2.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=cb396ab13390018320342083dbed3f4f&all_sr_blocks=39687911_327754849_0_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=201&highlighted_blocks=39687911_327754849_0_0_0&hpos=1&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=39687911_327754849_0_0_0__22500&srepoch=1634411591&srpvid=746a87233579003d&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Holiday Khaleej Hotel","Riyadh Show on map","SAR 495","1 night, 1 adult","Deluxe Double Room","2 single beds","8.2","Very good","3,642 reviews","/hotel/sa/holiday-kheieej.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=cb396ab13390018320342083dbed3f4f&all_sr_blocks=222899924_99175631_0_1_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=202&highlighted_blocks=222899924_99175631_0_1_0&hpos=2&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=222899924_99175631_0_1_0__49500&srepoch=1634411591&srpvid=746a87233579003d&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Le Meridien Medina","Al Madinah Show on map","SAR 320","1 night, 1 adult","High Floor Standard King Bed, Sofa bed","1 extra-large double bed","7.9","Good","1,798 reviews","/hotel/sa/le-meridien-madina.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=cb396ab13390018320342083dbed3f4f&all_sr_blocks=34025516_335374956_2_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=203&highlighted_blocks=34025516_335374956_2_2_0&hpos=3&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=34025516_335374956_2_2_0__32000&srepoch=1634411591&srpvid=746a87233579003d&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Nights Silence- Furnished Appartement By Kyan","Khamis Mushayt Show on map","SAR 235","1 night, 1 adult","Junior Suite","1 large double bed","8.4","Very good","731 reviews","/hotel/sa/hdw-llyly-by-kyn.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=cb396ab13390018320342083dbed3f4f&all_sr_blocks=469548801_147736031_0_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=204&highlighted_blocks=469548801_147736031_0_0_0&hpos=4&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=469548801_147736031_0_0_0__23500&srepoch=1634411591&srpvid=746a87233579003d&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Dallah Taibah Hotel","Central Madinah, Al Madinah Show on map","SAR 760","1 night, 1 adult","Executive Suite","1 large double bed","9.2","Superb","6,872 reviews","/hotel/sa/dallah-taibah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=cb396ab13390018320342083dbed3f4f&all_sr_blocks=36913412_298951650_0_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=205&highlighted_blocks=36913412_298951650_0_2_0&hpos=5&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=36913412_298951650_0_2_0__76000&srepoch=1634411591&srpvid=746a87233579003d&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"الاريام للاجنحة الفندقية","Buraydah Show on map","SAR 350","1 night, 1 adult","Junior Suite","2 beds
(1 extra-large double, 1 sofa bed)","8.4","Very good","207 reviews","/hotel/sa/lrym-lljnh-lfndqy.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=cb396ab13390018320342083dbed3f4f&all_sr_blocks=646517206_335439052_1_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=206&highlighted_blocks=646517206_335439052_1_0_0&hpos=6&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=646517206_335439052_1_0_0__35000&srepoch=1634411591&srpvid=746a87233579003d&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Elaf Jeddah Hotel - Red Sea Mall","Al Shatiea, Jeddah Show on map","SAR 600","1 night, 1 adult","Deluxe King Room","1 extra-large double bed","7.3","Good","3,794 reviews","/hotel/sa/elaf-jeddah-red-sea-mall.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=cb396ab13390018320342083dbed3f4f&all_sr_blocks=24736109_112225139_1_41_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=207&highlighted_blocks=24736109_112225139_1_41_0&hpos=7&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=24736109_112225139_1_41_0__60000&srepoch=1634411591&srpvid=746a87233579003d&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Quiet Dreams - Quraysh Branch","Qurish Street, Jeddah Show on map","SAR 200","1 night, 1 adult","One-Bedroom Apartment","1 large double bed","8.2","Very good","749 reviews","/hotel/sa/quiet-dreams-quraysh-branch.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=cb396ab13390018320342083dbed3f4f&all_sr_blocks=295777201_246816034_0_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=208&highlighted_blocks=295777201_246816034_0_0_0&hpos=8&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=295777201_246816034_0_0_0__20021&srepoch=1634411591&srpvid=746a87233579003d&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Sheraton Dammam Hotel & Convention Centre","Dammam Show on map","SAR 515","1 night, 1 adult","Classic Room, Guest room, 1 King, City view, Low floor","1 extra-large double bed","7.4","Good","1,953 reviews","/hotel/sa/sheraton-dammam-towers.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=cb396ab13390018320342083dbed3f4f&all_sr_blocks=4167122_94104803_0_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=209&highlighted_blocks=4167122_94104803_0_42_0&hpos=9&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=4167122_94104803_0_42_0__51500&srepoch=1634411591&srpvid=746a87233579003d&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Donatello Jeddah Hotel","Jeddah Show on map","SAR 440","1 night, 1 adult","Junior Suite","1 large double bed","8.4","Very good","387 reviews","/hotel/sa/donatello.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=cb396ab13390018320342083dbed3f4f&all_sr_blocks=592524501_265575952_1_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=210&highlighted_blocks=592524501_265575952_1_42_0&hpos=10&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=592524501_265575952_1_42_0__44000&srepoch=1634411591&srpvid=746a87233579003d&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
