,name,location,price,price_for,room_type,beds,rating,rating_title,number_of_ratings,url
70,The District Hotel Najran,Najran,SAR 421.00,"1 night, 2 adults",Executive Suite with City View,1 large double bed,8.4,Very good,993 reviews,"/hotel/sa/the-district-najran.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7a60793851b00a4bbcb4e6e8bfee01a9&all_sr_blocks=513402409_177106568_0_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=617&highlighted_blocks=513402409_177106568_0_42_0&hpos=17&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=513402409_177106568_0_42_0__42134&srepoch=1634459668&srpvid=76253c49fb8e016a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
71,Asia Hotel,Riyadh,SAR 115.00,"1 night, 2 adults",Standard Studio,1 large double bed,5.5,Review score,304 reviews,"/hotel/sa/fndq-sy.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7a60793851b00a4bbcb4e6e8bfee01a9&all_sr_blocks=584988202_228759025_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=618&highlighted_blocks=584988202_228759025_2_0_0&hpos=18&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=584988202_228759025_2_0_0__11500&srepoch=1634459668&srpvid=76253c49fb8e016a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
72,سفن سيز 2 للوحدات السكينه,Jeddah,SAR 128.00,"1 night, 2 adults",Studio,1 large double bed,5.5,Review score,236 reviews,"/hotel/sa/7-seaz.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7a60793851b00a4bbcb4e6e8bfee01a9&all_sr_blocks=630459109_266138254_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=619&highlighted_blocks=630459109_266138254_2_0_0&hpos=19&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=630459109_266138254_2_0_0__12750&srepoch=1634459668&srpvid=76253c49fb8e016a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
73,Freesia Hotel,Jeddah,SAR 234.00,"1 night, 2 adults",Deluxe King Studio,1 large double bed,7.8,Good,59 reviews,"/hotel/sa/freesia.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7a60793851b00a4bbcb4e6e8bfee01a9&all_sr_blocks=755386003_332309508_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=620&highlighted_blocks=755386003_332309508_2_0_0&hpos=20&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=755386003_332309508_2_0_0__23400&srepoch=1634459668&srpvid=76253c49fb8e016a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
74,Pearl of Vision Hotel,Jeddah,SAR 153.00,"1 night, 2 adults",Standard Double Room,1 extra-large double bed,8.5,Very good,134 reviews,"/hotel/sa/dr-lrw-y.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7a60793851b00a4bbcb4e6e8bfee01a9&all_sr_blocks=619931102_241817149_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=621&highlighted_blocks=619931102_241817149_2_0_0&hpos=21&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=619931102_241817149_2_0_0__15320&srepoch=1634459668&srpvid=76253c49fb8e016a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
75,Pullman Zamzam Madina,Madinah,SAR 280.00,"1 night, 2 adults",Classic Twin Room with Patio View,2 single beds,8.1,Very good,"12,774 reviews","/hotel/sa/pullman-zamzam-madina.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7a60793851b00a4bbcb4e6e8bfee01a9&all_sr_blocks=127933748_95481728_2_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=622&highlighted_blocks=127933748_95481728_2_42_0&hpos=22&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=127933748_95481728_2_42_0__28000&srepoch=1634459668&srpvid=76253c49fb8e016a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
76,Al Eairy Apartments - Al Taif,Taif,SAR 95.00,"1 night, 2 adults",Double or Twin Room,Beds: 1 double or 2 singles,5.3,Review score,865 reviews,"/hotel/sa/al-eairy-apartments-al-taif.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7a60793851b00a4bbcb4e6e8bfee01a9&all_sr_blocks=223056001_101117306_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=623&highlighted_blocks=223056001_101117306_2_0_0&hpos=23&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=223056001_101117306_2_0_0__9500&srepoch=1634459668&srpvid=76253c49fb8e016a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
77,Danar Hotel Apartments 5,Riyadh,SAR 249.00,"1 night, 2 adults",Double Room,1 extra-large double bed,6.5,Review score,724 reviews,"/hotel/sa/dnr-llwhdt-lfndqy.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7a60793851b00a4bbcb4e6e8bfee01a9&all_sr_blocks=269826901_109190925_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=624&highlighted_blocks=269826901_109190925_2_0_0&hpos=24&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=269826901_109190925_2_0_0__24900&srepoch=1634459668&srpvid=76253c49fb8e016a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
78,شقق فندقية سبيل,Khamis Mushayt,SAR 85.00,"1 night, 2 adults",Deluxe Queen Room,1 extra-large double bed,6.4,Review score,138 reviews,"/hotel/sa/shqq-fndqy-sbyl.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7a60793851b00a4bbcb4e6e8bfee01a9&all_sr_blocks=691291801_309487449_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=625&highlighted_blocks=691291801_309487449_2_0_0&hpos=25&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=691291801_309487449_2_0_0__8500&srepoch=1634459668&srpvid=76253c49fb8e016a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
79,Raoum Inn - Hawtah Bani Tamim,Al Hillah,SAR 165.00,"1 night, 2 adults",One-Bedroom Suite,1 double bed,6.4,Review score,126 reviews,"/hotel/sa/raoum-inn-houtet-bani-tamim.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7a60793851b00a4bbcb4e6e8bfee01a9&all_sr_blocks=84448706_330479887_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=626&highlighted_blocks=84448706_330479887_0_0_0&hpos=26&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=84448706_330479887_0_0_0__16500&srepoch=1634459668&srpvid=76253c49fb8e016a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
80,Safa Albawadi,Jeddah,SAR 130.00,"1 night, 2 adults",Twin Room,2 single beds,7.6,Good,773 reviews,"/hotel/sa/dary.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7a60793851b00a4bbcb4e6e8bfee01a9&all_sr_blocks=108166702_153319933_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=627&highlighted_blocks=108166702_153319933_2_0_0&hpos=27&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=108166702_153319933_2_0_0__13000&srepoch=1634459668&srpvid=76253c49fb8e016a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
0,Iwaa Alkharj Apartments,Riyadh,SAR 160.00,"1 night, 2 adults",Deluxe Queen Room,1 double bed,7.8,Good,408 reviews,"/hotel/sa/shqq-yw-lkhrj-lfndqy.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=630386105_245805660_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=651&highlighted_blocks=630386105_245805660_2_0_0&hpos=1&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=630386105_245805660_2_0_0__16000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v14JNeA7E7&from=searchresults
;highlight_room=#hotelTmpl"
1,Lavana Furnished Apartments Salam,Jeddah,SAR 152.00,"1 night, 2 adults",Studio,1 extra-large double bed,7.9,Good,796 reviews,"/hotel/sa/lavana.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=691505103_285026401_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=652&highlighted_blocks=691505103_285026401_2_0_0&hpos=2&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=691505103_285026401_2_0_0__15210&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1AL6lCtB3&from=searchresults
;highlight_room=#hotelTmpl"
2,Bay La Sun Hotel and Marina - KAEC,King Abdullah Economic,SAR 705.00,"1 night, 2 adults",Deluxe Double Room with City View,1 large double bed,8.2,Very good,"9,052 reviews","/hotel/sa/bay-la-sun-and-marina.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=83558502_189700952_0_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=653&highlighted_blocks=83558502_189700952_0_42_0&hpos=3&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=83558502_189700952_0_42_0__70500&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1nmnibDYO&from=searchresults
;highlight_room=#hotelTmpl"
3,Vision of Onaizah Furnished Units,Unayzah,SAR 153.00,"1 night, 2 adults",Twin Room,2 single beds,8.2,Very good,830 reviews,"/hotel/sa/rwy-nyz-llwhdt-lskny.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=365785301_123845357_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=654&highlighted_blocks=365785301_123845357_2_0_0&hpos=4&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=365785301_123845357_2_0_0__15270&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1sKZjeHLo&from=searchresults
;highlight_room=#hotelTmpl"
4,Rafa Homes,Riyadh,SAR 318.00,"1 night, 2 adults",One-Bedroom Apartment,1 large double bed,7.5,Good,915 reviews,"/hotel/sa/rafa-homes.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=105799303_264955967_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=655&highlighted_blocks=105799303_264955967_2_0_0&hpos=5&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=105799303_264955967_2_0_0__31820&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1uQVvi88s&from=searchresults
;highlight_room=#hotelTmpl"
5,فندق لافندر,Taif,SAR 229.00,"1 night, 2 adults",Studio Apartment,1 extra-large double bed,8.3,Very good,633 reviews,"/hotel/sa/tera.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=717233601_304083642_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=656&highlighted_blocks=717233601_304083642_2_0_0&hpos=6&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=717233601_304083642_2_0_0__22900&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1DHonxomC&from=searchresults
;highlight_room=#hotelTmpl"
6,Dar Al Naem Hotel,Madinah,SAR 150.00,"1 night, 2 adults",Standard Twin Room,2 single beds,6.4,Review score,"1,373 reviews","/hotel/sa/dar-al-naeem.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=30141103_211331138_0_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=657&highlighted_blocks=30141103_211331138_0_42_0&hpos=7&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=30141103_211331138_0_42_0__15000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v12hdMXClZ&from=searchresults
;highlight_room=#hotelTmpl"
7,Executives Hotel - Azizia,Riyadh,SAR 279.00,"1 night, 2 adults",Standard Double Room,1 large double bed,8.0,Very good,"2,709 reviews","/hotel/sa/executives-azizia.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=29989601_93319561_0_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=658&highlighted_blocks=29989601_93319561_0_2_0&hpos=8&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=29989601_93319561_0_2_0__27900&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1VDU3Z9yP&from=searchresults
;highlight_room=#hotelTmpl"
8,فندق المحمل العصري,Sharurah Show on map,SAR 150.00,"1 night, 2 adults",Double Room,1 large double bed,,,,"/hotel/sa/fndq-lmhml-l-sry.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=772019802_335100283_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=659&highlighted_blocks=772019802_335100283_2_0_0&hpos=9&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=772019802_335100283_2_0_0__15000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1W1GPJBXw&from=searchresults
;highlight_room=#hotelTmpl"
9,Baylasun Life,King Abdullah Economic City,SAR 760.00,"1 night, 2 adults",One-Bedroom Apartment,"3 beds
(1 single, 1 sofa bed, 1 large double)",8.7,Fabulous,72 reviews,"/hotel/sa/baylasun-life.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=706916801_295499879_3_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=660&highlighted_blocks=706916801_295499879_3_0_0&hpos=10&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=706916801_295499879_3_0_0__76000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1Hx3Y98Ec&from=searchresults
;highlight_room=#hotelTmpl"
10,Gardens View,Taif,SAR 216.00,"1 night, 2 adults",Standard Studio,1 double bed,7.3,Good,318 reviews,"/hotel/sa/mtl-lhdy-q-llwhdt-lskny-lmfrwsh-lty-f.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=575353905_331856663_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=661&highlighted_blocks=575353905_331856663_0_0_0&hpos=11&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=575353905_331856663_0_0_0__21600&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v13_ctOOBQ&from=searchresults
;highlight_room=#hotelTmpl"
11,Hotel Qal'aat AlKhafji,AlKhafji,SAR 269.00,"1 night, 2 adults",Deluxe Double Room,2 single beds,7.0,Good,6 reviews,"/hotel/sa/fndq-ql-lkhfjy.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=504625909_295317025_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=662&highlighted_blocks=504625909_295317025_2_0_0&hpos=12&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=504625909_295317025_2_0_0__26933&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1NeUj8DLE&from=searchresults
;highlight_room=#hotelTmpl"
12,Al Muhaidb Residence Al Takhassusi,Riyadh,SAR 250.00,"1 night, 2 adults",Club Double Room,1 double bed,6.9,Review score,"1,092 reviews","/hotel/sa/ossuo-uossop-riyadh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=80504003_97320671_0_1_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=663&highlighted_blocks=80504003_97320671_0_1_0&hpos=13&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=80504003_97320671_0_1_0__25000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1R-FD3Ifp&from=searchresults
;highlight_room=#hotelTmpl"
13,Al Hayatt Plus,Madinah,SAR 175.00,"1 night, 2 adults",Economy Double Room,2 single beds,6.9,Review score,"2,304 reviews","/hotel/sa/hy-l-lmy2.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=656939201_269179259_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=664&highlighted_blocks=656939201_269179259_0_0_0&hpos=14&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=656939201_269179259_0_0_0__17500&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1TEPuV7_R&from=searchresults
;highlight_room=#hotelTmpl"
14,Al Eairy Furnished Apartments- Jeddah 2,Jeddah,SAR 100.00,"1 night, 2 adults",Small Double Room,Beds: 1 double or 2 singles,5.2,Review score,879 reviews,"/hotel/sa/al-eairy-furnished-apartments-jeddah-2.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=223052206_101061924_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=665&highlighted_blocks=223052206_101061924_2_0_0&hpos=15&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=223052206_101061924_2_0_0__10000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1rOaLUqJ3&from=searchresults
;highlight_room=#hotelTmpl"
15,اوج للأجنحة الفندقية,Jazan,SAR 465.00,"1 night, 2 adults",Standard Studio,1 large double bed,8.9,Fabulous,40 reviews,"/hotel/sa/wj-ll-jnh-lfndqy-jizan.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=769041101_334799414_2_1_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=666&highlighted_blocks=769041101_334799414_2_1_0&hpos=16&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=769041101_334799414_2_1_0__46500&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1JHAMjg7I&from=searchresults
;highlight_room=#hotelTmpl"
16,Ramada by Wyndham Dammam Khaleej Road,Dammam,SAR 210.00,"1 night, 2 adults",Queen Room - Smoking,1 large double bed,6.9,Review score,"4,808 reviews","/hotel/sa/ramada-dammam-suites.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=18381132_88958527_2_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=667&highlighted_blocks=18381132_88958527_2_42_0&hpos=17&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=18381132_88958527_2_42_0__21000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1tH1T2b3q&from=searchresults
;highlight_room=#hotelTmpl"
17,سويت ان العلا للشقق المفروشة الخاصة Sweet In alula Apartments and organizing tours,Al Ula,SAR 620.00,"1 night, 2 adults",Three-Bedroom Apartment,"8 beds
(4 singles, 1 double, 3 sofa beds)",7.6,Good,163 reviews,"/hotel/sa/shqq-mfrwsh-fkhr-l-l.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=606734503_255034448_6_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=668&highlighted_blocks=606734503_255034448_6_0_0&hpos=18&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=606734503_255034448_6_0_0__62000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1aOvCF651&from=searchresults
;highlight_room=#hotelTmpl"
18,La fontaine Opal,Jeddah,SAR 280.00,"1 night, 2 adults",Standard Double or Twin Room,Beds: 1 double or 2 singles,8.2,Very good,299 reviews,"/hotel/sa/lfwntyn-wbl.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=619756603_276661010_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=669&highlighted_blocks=619756603_276661010_2_0_0&hpos=19&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=619756603_276661010_2_0_0__28000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1p4YWO5dK&from=searchresults
;highlight_room=#hotelTmpl"
19,شالية مارينا,Al Muwayh,"SAR 1,000.00","1 night, 2 adults",Two-Bedroom Chalet,"3 beds
(1 single, 1 double, 1 sofa bed)",,,,"/hotel/sa/shly-mryn-lmwy-ljdyd.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=773805801_335630099_6_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=670&highlighted_blocks=773805801_335630099_6_0_0&hpos=20&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=773805801_335630099_6_0_0__100000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1aFdO-5PD&from=searchresults
;highlight_room=#hotelTmpl"
20,استراحة الخير,Riyadh,SAR 240.00,"1 night, 2 adults",Two-Bedroom Chalet,"5 beds
(3 singles, 2 sofa beds)",,,,"/hotel/sa/strh-lkhyr.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=719069801_330739250_5_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=671&highlighted_blocks=719069801_330739250_5_0_0&hpos=21&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=719069801_330739250_5_0_0__24000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v11gR7F5fS&from=searchresults
;highlight_room=#hotelTmpl"
