,name,location,price,price_for,room_type,beds,rating,rating_title,number_of_ratings,url
10,Orchida Turaif Hotel 2,Ţurayf,SAR 125.00,"1 night, 1 adult",Single Room with Bathroom,1 single bed,7.6,Good,32 reviews,"https://www.booking.com/hotel/sa/orchida.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALCxJ31BcACAdgCAg&sid=313bcfc7865e0249bac4a016f42ebac7&all_sr_blocks=180841603_250203388_0_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=36&highlighted_blocks=180841603_250203388_0_0_0&hpos=11&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=180841603_250203388_0_0_0__12500&srepoch=1634408598&srpvid=7c4e814a033100b9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
11,Rose Park,Riyadh,SAR 600.00,"1 night, 1 adult",Standard Apartment,"2 beds
(1 single, 1 extra-large double)",8.2,Very good,139 reviews,"https://www.booking.com/hotel/sa/rwz-brk.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALCxJ31BcACAdgCAg&sid=313bcfc7865e0249bac4a016f42ebac7&all_sr_blocks=587089605_330885302_0_1_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=37&highlighted_blocks=587089605_330885302_0_1_0&hpos=12&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=587089605_330885302_0_1_0__60000&srepoch=1634408598&srpvid=7c4e814a033100b9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
12,Madinah Mövenpick Hotel,Madinah,SAR 626.00,"1 night, 1 adult",One-Bedroom Suite,1 extra-large double bed,7.6,Good,"3,635 reviews","https://www.booking.com/hotel/sa/madinah-movenpick.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALCxJ31BcACAdgCAg&sid=313bcfc7865e0249bac4a016f42ebac7&all_sr_blocks=23865823_88786091_1_1_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=38&highlighted_blocks=23865823_88786091_1_1_0&hpos=13&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=23865823_88786091_1_1_0__62565&srepoch=1634408598&srpvid=7c4e814a033100b9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
13,Grand Hyatt Alkhobar Hotel and Residences,Al Khobar,SAR 750.00,"1 night, 1 adult",King Room,1 large double bed,8.7,Fabulous,"2,257 reviews","https://www.booking.com/hotel/sa/grand-hyatt-al-khobar.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALCxJ31BcACAdgCAg&sid=313bcfc7865e0249bac4a016f42ebac7&all_sr_blocks=656595010_285649997_2_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=39&highlighted_blocks=656595010_285649997_2_42_0&hpos=14&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=656595010_285649997_2_42_0__75000&srepoch=1634408598&srpvid=7c4e814a033100b9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
14,Jabal Omar Marriott Hotel Makkah,Makkah,SAR 300.00,"1 night, 1 adult",Superior Double Partial Haram View,2 single beds,7.8,Good,"2,671 reviews","https://www.booking.com/hotel/sa/makkah-marriott.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALCxJ31BcACAdgCAg&sid=313bcfc7865e0249bac4a016f42ebac7&all_sr_blocks=142684403_246433197_2_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=40&highlighted_blocks=142684403_246433197_2_42_0&hpos=15&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=142684403_246433197_2_42_0__30000&srepoch=1634408598&srpvid=7c4e814a033100b9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
15,Courtyard Riyadh by Marriott Diplomatic Quarter,Riyadh,SAR 490.00,"1 night, 1 adult","Guest room, 2 Double",1 extra-large double bed,8.1,Very good,"2,443 reviews","https://www.booking.com/hotel/sa/courtyard-riyadh-diplomatic-quarter.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALCxJ31BcACAdgCAg&sid=313bcfc7865e0249bac4a016f42ebac7&all_sr_blocks=39872105_136033593_2_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=41&highlighted_blocks=39872105_136033593_2_2_0&hpos=16&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=39872105_136033593_2_2_0__49000&srepoch=1634408598&srpvid=7c4e814a033100b9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
16,Gulanar Hotel,Unayzah,SAR 350.00,"1 night, 1 adult",Deluxe King Room,1 large double bed,8.5,Very good,"1,343 reviews","https://www.booking.com/hotel/sa/fndq-jlnr.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALCxJ31BcACAdgCAg&sid=313bcfc7865e0249bac4a016f42ebac7&all_sr_blocks=359773109_118655394_2_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=42&highlighted_blocks=359773109_118655394_2_2_0&hpos=17&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=359773109_118655394_2_2_0__35000&srepoch=1634408598&srpvid=7c4e814a033100b9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
17,Le Meridien Riyadh,Riyadh,SAR 800.00,"1 night, 1 adult","Deluxe Room, Guest room, 2 Twin/Single Bed(s)",2 single beds,8.2,Very good,764 reviews,"https://www.booking.com/hotel/sa/le-meridien-riyadh.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALCxJ31BcACAdgCAg&sid=313bcfc7865e0249bac4a016f42ebac7&all_sr_blocks=652279402_266280944_0_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=43&highlighted_blocks=652279402_266280944_0_2_0&hpos=18&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=652279402_266280944_0_2_0__80000&srepoch=1634408598&srpvid=7c4e814a033100b9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
18,Novotel Riyadh Al Anoud,Riyadh,SAR 360.00,"1 night, 1 adult",Superior Queen Room,1 large double bed,7.2,Good,"2,943 reviews","https://www.booking.com/hotel/sa/novotel-alanoud.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALCxJ31BcACAdgCAg&sid=313bcfc7865e0249bac4a016f42ebac7&all_sr_blocks=4806601_246094890_2_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=44&highlighted_blocks=4806601_246094890_2_42_0&hpos=19&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=4806601_246094890_2_42_0__36000&srepoch=1634408598&srpvid=7c4e814a033100b9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
19,Centro Waha by Rotana,Riyadh,SAR 450.00,"1 night, 1 adult",Standard Twin Room,2 single beds,7.5,Good,"6,614 reviews","https://www.booking.com/hotel/sa/centro-waha.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALCxJ31BcACAdgCAg&sid=313bcfc7865e0249bac4a016f42ebac7&all_sr_blocks=239972402_148407719_0_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=45&highlighted_blocks=239972402_148407719_0_42_0&hpos=20&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=239972402_148407719_0_42_0__45000&srepoch=1634408598&srpvid=7c4e814a033100b9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
