"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url"
"Madareem Crown Hotel","Riyadh Show on map","SAR 578","1 night, 1 adult","Standard Single Room","1 single bed","7.3","Good","645 reviews","/hotel/sa/madareem-crown.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=32e9aa4b51e1e1e086d6e9708e04d9cb&all_sr_blocks=24524808_91016974_0_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=276&highlighted_blocks=24524808_91016974_0_42_0&hpos=1&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=24524808_91016974_0_42_0__57785&srepoch=1634417388&srpvid=9b8192752f3a0003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Park Hyatt Jeddah - Marina, Club and Spa","Jeddah Show on map","SAR 1,500","1 night, 1 adult","King Room","1 extra-large double bed","8.0","Very good","1,527 reviews","/hotel/sa/park-hyatt-jeddah-marina-club-spa.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=32e9aa4b51e1e1e086d6e9708e04d9cb&all_sr_blocks=18381010_261895798_1_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=277&highlighted_blocks=18381010_261895798_1_42_0&hpos=2&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=18381010_261895798_1_42_0__150000&srepoch=1634417388&srpvid=9b8192752f3a0003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"شقق قصر العنوان الفندقية","Dammam Show on map","SAR 612","1 night, 1 adult","Junior Suite","1 extra-large double bed","9.1","Superb","248 reviews","/hotel/sa/shqq-qsr-l-nwn-lfndqy.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=32e9aa4b51e1e1e086d6e9708e04d9cb&all_sr_blocks=680470502_278076862_2_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=278&highlighted_blocks=680470502_278076862_2_2_0&hpos=3&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=680470502_278076862_2_2_0__61200&srepoch=1634417388&srpvid=9b8192752f3a0003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Beach Time Villas Hotel - Family Villas","Al Shatiea, Jeddah Show on map","SAR 1,458","1 night, 1 adult","Three-Bedroom Villa","5 beds
(2 singles, 1 extra-large double, 1 sofa bed, 1 large double)","7.9","Good","675 reviews","/hotel/sa/time-beach-villas-resort.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=32e9aa4b51e1e1e086d6e9708e04d9cb&all_sr_blocks=334322201_129241034_0_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=279&highlighted_blocks=334322201_129241034_0_42_0&hpos=4&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=334322201_129241034_0_42_0__145800&srepoch=1634417388&srpvid=9b8192752f3a0003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Al Balad Inn Al Mishkat","Al Salamah, Jeddah Show on map","SAR 268","1 night, 1 adult","Deluxe Apartment","1 large double bed","6.6","Review score","86 reviews","/hotel/sa/al-mishkah-apartment.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=32e9aa4b51e1e1e086d6e9708e04d9cb&all_sr_blocks=56802902_309139239_0_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=280&highlighted_blocks=56802902_309139239_0_0_0&hpos=5&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=56802902_309139239_0_0_0__26789&srepoch=1634417388&srpvid=9b8192752f3a0003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Waldorf Astoria Jeddah - Qasr Al Sharq","Al Shatiea, Jeddah Show on map","SAR 1,340","1 night, 1 adult","Qasr King Room","2 double beds","9.1","Superb","289 reviews","/hotel/sa/qasr-al-sharq.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=32e9aa4b51e1e1e086d6e9708e04d9cb&all_sr_blocks=4591301_328152418_2_34_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=281&highlighted_blocks=4591301_328152418_2_34_0&hpos=6&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=4591301_328152418_2_34_0__134000&srepoch=1634417388&srpvid=9b8192752f3a0003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Marriott Executive Apartments Madinah","Al Madinah Show on map","SAR 584","1 night, 1 adult","Studio Apartment, 2 Double, Sofa bed, Garden view","3 beds
(2 doubles, 1 sofa bed)","9.0","Superb","895 reviews","/hotel/sa/marriott-executive-apartments-madinah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=32e9aa4b51e1e1e086d6e9708e04d9cb&all_sr_blocks=194455920_234491063_0_1_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=282&highlighted_blocks=194455920_234491063_0_1_0&hpos=7&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=194455920_234491063_0_1_0__58400&srepoch=1634417388&srpvid=9b8192752f3a0003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Mnazel Jawraq","Riyadh Show on map","SAR 1,665","1 night, 1 adult","Villa with Private Pool","4 beds
(2 extra-large doubles, 2 sofa beds)","8.8","Fabulous","58 reviews","/hotel/sa/jwrq.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=32e9aa4b51e1e1e086d6e9708e04d9cb&all_sr_blocks=365494301_335433878_8_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=283&highlighted_blocks=365494301_335433878_8_0_0&hpos=8&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=365494301_335433878_8_0_0__166500&srepoch=1634417388&srpvid=9b8192752f3a0003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Alreef Diamond Villas","Taif Show on map","SAR 1,500","1 night, 1 adult","Standard Villa","13 beds
(5 singles, 1 double, 7 sofa beds)","9.0","Superb","101 reviews","/hotel/sa/fll-lryf-lsyhy.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=32e9aa4b51e1e1e086d6e9708e04d9cb&all_sr_blocks=252441801_330818940_6_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=284&highlighted_blocks=252441801_330818940_6_0_0&hpos=9&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=252441801_330818940_6_0_0__150000&srepoch=1634417388&srpvid=9b8192752f3a0003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Rolana Furnished Apartments","Jeddah Show on map","SAR 189","1 night, 1 adult","Deluxe Studio","1 extra-large double bed","7.5","Good","40 reviews","/hotel/sa/rolana-furnished-apartments.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=32e9aa4b51e1e1e086d6e9708e04d9cb&all_sr_blocks=223862404_285716025_0_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=285&highlighted_blocks=223862404_285716025_0_0_0&hpos=10&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=223862404_285716025_0_0_0__18900&srepoch=1634417388&srpvid=9b8192752f3a0003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
